Min.	1st Qu.	Median	Mean	3rd Qu.	Max.	num_peaks	measure	sample
2.43571	3.39234	3.84637	4.0482750488145	4.4902	9.44867	717	fold	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN
1.02611	2.07663	2.77261	3.36365213389121	3.86364	74.2406	717	-log10(qvalue)	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN
2.60982	3.9076	4.72715	5.37518421199442	5.99403	78.5865	717	-log10(pvalue)	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN
200	246	351	409.44630404463	517	1600	717	length	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN
2.49353	3.22803	3.677905	3.89505930894309	4.3607375	9.25056	984	fold	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN
1.03749	1.976245	2.714805	3.29639885162602	4.037465	62.6004	984	-log10(qvalue)	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN
2.48107	3.66376	4.52876	5.16459720528455	6.03135	66.8183	984	-log10(pvalue)	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN
200	250.75	359	408.501016260163	513	1466	984	length	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN
2.09677	2.85188	3.39012	3.64156172369271	4.20914	9.66599	1549	fold	OSMOTIC_STRESS_T150_SE_REP1.mLb.clN
1.06688	2.04141	3.19244	4.27674824402841	5.5758	119.347	1549	-log10(qvalue)	OSMOTIC_STRESS_T150_SE_REP1.mLb.clN
2.30101	3.46376	4.74603	5.90744227888961	7.34511	123.623	1549	-log10(pvalue)	OSMOTIC_STRESS_T150_SE_REP1.mLb.clN
200	269	375	441.99096191091	541	2337	1549	length	OSMOTIC_STRESS_T150_SE_REP1.mLb.clN
2.66378	3.1541725	3.474945	3.76810541009464	4.1038875	9.31343	634	fold	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN
1.04686	1.6744825	2.12412	3.11003791798107	3.1854875	254.26	634	-log10(qvalue)	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN
2.68444	3.5250525	4.0898	5.15372430599369	5.3422125	258.564	634	-log10(pvalue)	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN
199	319	461.5	547.533123028391	684.25	2511	634	length	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN
2.4203	3.132165	3.50522	3.73731483146067	4.0744275	12.6418	890	fold	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN
1.00727	1.69157	2.252845	2.87292094382022	3.2200125	125.379	890	-log10(qvalue)	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN
2.55517	3.443395	4.137365	4.8216142247191	5.2745975	129.495	890	-log10(pvalue)	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN
166	253.25	391.5	491.437078651685	623	2329	890	length	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN
2.18938	2.7513	3.18851	3.40056025550035	3.85483	8.74425	1409	fold	OSMOTIC_STRESS_T15_PE_REP1.mLb.clN
1.03124	1.7407	2.65672	3.55162393186657	4.36539	300.843	1409	-log10(qvalue)	OSMOTIC_STRESS_T15_PE_REP1.mLb.clN
2.31623	3.19712	4.24292	5.22302764371895	6.1715	305.15	1409	-log10(pvalue)	OSMOTIC_STRESS_T15_PE_REP1.mLb.clN
183	289	447	556.834634492548	715	2449	1409	length	OSMOTIC_STRESS_T15_PE_REP1.mLb.clN
