PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T0_PE_REP2_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T0_PE_REP2_peak_412	XII	459619	460869	+	2542	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	568	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_162	IX	439301	439858	+	148	NA	Intergenic	Intergenic	-1400	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
OSMOTIC_STRESS_T0_PE_REP2_peak_285	VIII	16	313	+	133	NA	promoter-TSS (YHL050W-A)	protein_coding-promoter-TSS (YHL050W-A)	-647	YHL050W-A	YHL050W-A	YHL050W-A			YHL050W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_390	XII	36	304	+	130	NA	promoter-TSS (YLL067W-A)	protein_coding-promoter-TSS (YLL067W-A)	-673	YLL067W-A	YLL067W-A	YLL067W-A			YLL067W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_1	I	47	567	+	116	NA	promoter-TSS (YAL068W-A)	protein_coding-promoter-TSS (YAL068W-A)	-28	YAL069W	YAL069W	YAL069W			YAL069W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_389	XI	666136	666677	+	103	NA	Intergenic	Intergenic	4964	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_447	XII	1071499	1071936	+	98	NA	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	-7	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_221	VII	9	569	+	98	NA	Intergenic	Intergenic	-2501	YGL263W	YGL263W	YGL263W			COS12			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_207	VI	4504	5298	+	95	NA	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-165	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_391	XII	5550	5969	+	94	NA	promoter-TSS (YLL066W-A)	protein_coding-promoter-TSS (YLL066W-A)	154	YLL066W-B	YLL066W-B	YLL066W-B			YLL066W-B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_75	III	315776	316514	+	90	NA	promoter-TSS (YCR108C)	protein_coding-promoter-TSS (YCR108C)	43	YCR108C	YCR108C	YCR108C			YCR108C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_346	XI	87	575	+	89	NA	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	-120	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_532	XV	49	616	+	87	NA	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-253	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_345	X	745115	745639	+	87	NA	promoter-TSS (YJR162C)	protein_coding-promoter-TSS (YJR162C)	-116	YJR162C	YJR162C	YJR162C			YJR162C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_493	XIII	923773	924344	+	84	NA	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-256	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_62	III	323	864	+	77	NA	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-799	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
