PeakID (cmd=annotatePeaks.pl consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1242	XII	521966	522677	+	0	NA	promoter-TSS (YLR183C)	protein_coding-promoter-TSS (YLR183C)	215	YLR184W	YLR184W	YLR184W			YLR184W			protein_coding
Interval_344	IV	806078	806740	+	0	NA	promoter-TSS (YDR171W)	protein_coding-promoter-TSS (YDR171W)	-212	YDR171W	YDR171W	YDR171W			HSP42			protein_coding
Interval_686	VII	1	672	+	0	NA	Intergenic	Intergenic	-2454	YGL263W	YGL263W	YGL263W			COS12			protein_coding
Interval_546	V	15738	16454	+	0	NA	promoter-TSS (YEL071W)	protein_coding-promoter-TSS (YEL071W)	-259	YEL071W	YEL071W	YEL071W			DLD3			protein_coding
Interval_976	X	184153	184353	+	0	NA	promoter-TSS (YJL126W)	protein_coding-promoter-TSS (YJL126W)	-33	YJL127C	YJL127C	YJL127C			SPT10			protein_coding
Interval_1360	XIII	262780	263434	+	0	NA	promoter-TSS (YML003W)	protein_coding-promoter-TSS (YML003W)	-376	YML003W	YML003W	YML003W			YML003W			protein_coding
Interval_1599	XV	43382	43782	+	0	NA	promoter-TSS (YOL151W)	protein_coding-promoter-TSS (YOL151W)	-112	YOL151W	YOL151W	YOL151W			GRE2			protein_coding
Interval_495	IX	174932	175582	+	0	NA	promoter-TSS (YIL102C)	protein_coding-promoter-TSS (YIL102C)	226	tT(AGU)I1	tT(AGU)I1	tT(AGU)I1			tT(AGU)I1			tRNA
Interval_1134	XI	402191	402488	+	0	NA	promoter-TSS (YKL019W)	protein_coding-promoter-TSS (YKL019W)	-229	YKL019W	YKL019W	YKL019W			RAM2			protein_coding
Interval_242	IV	147640	148119	+	0	NA	promoter-TSS (YDL173W)	protein_coding-promoter-TSS (YDL173W)	-290	YDL174C	YDL174C	YDL174C			DLD1			protein_coding
Interval_1510	XIV	292626	292814	+	0	NA	promoter-TSS (YNL185C)	protein_coding-promoter-TSS (YNL185C)	-51	YNL185C	YNL185C	YNL185C			MRPL19			protein_coding
Interval_596	V	280801	281546	+	0	NA	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-491	YER062C	YER062C	YER062C			GPP2			protein_coding
Interval_44	II	74784	75081	+	0	NA	promoter-TSS (YBL079W)	protein_coding-promoter-TSS (YBL079W)	-237	YBL080C	YBL080C	YBL080C			PET112			protein_coding
Interval_1461	XIII	895447	895683	+	0	NA	promoter-TSS (YMR309C)	protein_coding-promoter-TSS (YMR309C)	-139	YMR309C	YMR309C	YMR309C			NIP1			protein_coding
Interval_700	VII	84355	84659	+	0	NA	promoter-TSS (YGL216W)	protein_coding-promoter-TSS (YGL216W)	-250	YGL219C	YGL219C	YGL219C			MDM34			protein_coding
Interval_893	VIII	189934	190489	+	0	NA	promoter-TSS (YHR041C)	protein_coding-promoter-TSS (YHR041C)	-332	YHR042W	YHR042W	YHR042W			NCP1			protein_coding
Interval_1587	XIV	750050	750249	+	0	NA	promoter-TSS (YNR064C)	protein_coding-promoter-TSS (YNR064C)	-141	YNR064C	YNR064C	YNR064C			YNR064C			protein_coding
Interval_1478	XIV	62923	63510	+	0	NA	promoter-TSS (YNL302C)	protein_coding-promoter-TSS (YNL302C)	-273	YNL302C	YNL302C	YNL302C			RPS19B			protein_coding
Interval_1406	XIII	540108	540894	+	0	NA	promoter-TSS (YMR135C)	protein_coding-promoter-TSS (YMR135C)	-445	YMR135C	YMR135C	YMR135C			GID8			protein_coding
Interval_1161	XI	578311	579345	+	0	NA	promoter-TSS (YKR072C)	protein_coding-promoter-TSS (YKR072C)	-137	tK(UUU)K	tK(UUU)K	tK(UUU)K			tK(UUU)K			tRNA
Interval_816	VII	836815	837014	+	0	NA	promoter-TSS (YGR169C-A)	protein_coding-promoter-TSS (YGR169C-A)	-228	YGR170W	YGR170W	YGR170W			PSD2			protein_coding
Interval_612	V	354659	355915	+	0	NA	promoter-TSS (YER098W)	protein_coding-promoter-TSS (YER098W)	147	YER097W	YER097W	YER097W			YER097W			protein_coding
Interval_560	V	84816	85685	+	0	NA	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	295	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
Interval_1809	XVI	360067	360264	+	0	NA	promoter-TSS (YPL101W)	protein_coding-promoter-TSS (YPL101W)	-44	YPL101W	YPL101W	YPL101W			ELP4			protein_coding
Interval_175	III	58640	59491	+	0	NA	promoter-TSS (YCL036W)	protein_coding-promoter-TSS (YCL036W)	39	YCL036W	YCL036W	YCL036W			GFD2			protein_coding
Interval_1051	X	628803	629064	+	0	NA	TTS (YJR107W)	protein_coding-TTS (YJR107W)	221	YJR108W	YJR108W	YJR108W			ABM1			protein_coding
Interval_961	X	101071	101375	+	0	NA	promoter-TSS (YJL169W)	protein_coding-promoter-TSS (YJL169W)	-329	YJL171C	YJL171C	YJL171C			YJL171C			protein_coding
Interval_894	VIII	201269	201697	+	0	NA	promoter-TSS (YHR047C)	protein_coding-promoter-TSS (YHR047C)	-173	YHR047C	YHR047C	YHR047C			AAP1			protein_coding
Interval_1847	XVI	608346	608545	+	0	NA	TTS (YPR023C)	protein_coding-TTS (YPR023C)	-1133	YPR022C	YPR022C	YPR022C			YPR022C			protein_coding
Interval_928	VIII	422398	423875	+	0	NA	promoter-TSS (YHR161C)	protein_coding-promoter-TSS (YHR161C)	64	YHR162W	YHR162W	YHR162W			MPC2			protein_coding
Interval_1369	XIII	302709	303165	+	0	NA	promoter-TSS (YMR015C)	protein_coding-promoter-TSS (YMR015C)	-452	YMR015C	YMR015C	YMR015C			ERG5			protein_coding
Interval_994	X	313840	314781	+	0	NA	promoter-TSS (YJL064W)	protein_coding-promoter-TSS (YJL064W)	226	YJL067W	YJL067W	YJL067W			YJL067W			protein_coding
Interval_1236	XII	493154	493557	+	0	NA	promoter-TSS (YLR163C)	protein_coding-promoter-TSS (YLR163C)	-101	YLR163C	YLR163C	YLR163C			MAS1			protein_coding
Interval_10	I	61119	61592	+	0	NA	promoter-TSS (YAL042W)	protein_coding-promoter-TSS (YAL042W)	39	YAL042W	YAL042W	YAL042W			ERV46			protein_coding
Interval_1728	XV	911814	912776	+	0	NA	promoter-TSS (YOR319W)	protein_coding-promoter-TSS (YOR319W)	141	YOR318C	YOR318C	YOR318C			YOR318C			protein_coding
Interval_812	VII	801607	801993	+	0	NA	promoter-TSS (YGR157W)	protein_coding-promoter-TSS (YGR157W)	-640	YGR157W	YGR157W	YGR157W			CHO2			protein_coding
Interval_1711	XV	796894	797399	+	0	NA	promoter-TSS (YOR246C)	protein_coding-promoter-TSS (YOR246C)	-353	YOR246C	YOR246C	YOR246C			ENV9			protein_coding
Interval_1455	XIII	863444	863677	+	0	NA	promoter-TSS (YMR298W)	protein_coding-promoter-TSS (YMR298W)	-259	YMR298W	YMR298W	YMR298W			LIP1			protein_coding
Interval_1865	XVI	702171	702369	+	0	NA	TTS (YPR080W)	protein_coding-TTS (YPR080W)	1676	YPR080W	YPR080W	YPR080W			TEF1			protein_coding
Interval_536	IX	407997	408196	+	0	NA	promoter-TSS (YIR027C)	protein_coding-promoter-TSS (YIR027C)	-372	YIR028W	YIR028W	YIR028W			DAL4			protein_coding
Interval_1898	XVI	919043	919242	+	0	NA	promoter-TSS (YPR190C)	protein_coding-promoter-TSS (YPR190C)	-101	YPR190C	YPR190C	YPR190C			RPC82			protein_coding
Interval_1577	XIV	674824	675994	+	0	NA	promoter-TSS (YNR026C)	protein_coding-promoter-TSS (YNR026C)	486	YNR027W	YNR027W	YNR027W			BUD17			protein_coding
Interval_1057	X	662832	663827	+	0	NA	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-270	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
Interval_137	II	604157	604493	+	0	NA	promoter-TSS (YBR188C)	protein_coding-promoter-TSS (YBR188C)	-183	YBR189W	YBR189W	YBR189W			RPS9B			protein_coding
Interval_926	VIII	410919	411631	+	0	NA	promoter-TSS (snR71)	snoRNA-promoter-TSS (snR71)	47	snR71	snR71	snR71			snR71			snoRNA
Interval_842	VII	974223	974877	+	0	NA	promoter-TSS (YGR240C)	protein_coding-promoter-TSS (YGR240C)	227	YGR240C-A	YGR240C-A	YGR240C-A			YGR240C-A			protein_coding
Interval_352	IV	866663	868053	+	0	NA	promoter-TSS (YDR208W)	protein_coding-promoter-TSS (YDR208W)	164	YDR207C	YDR207C	YDR207C			UME6			protein_coding
Interval_471	IX	12	211	+	0	NA	promoter-TSS (YIL177W-A)	protein_coding-promoter-TSS (YIL177W-A)	-735	YIL177W-A	YIL177W-A	YIL177W-A			YIL177W-A			protein_coding
Interval_1318	XII	1043633	1043922	+	0	NA	promoter-TSS (YLR453C)	protein_coding-promoter-TSS (YLR453C)	-221	YLR454W	YLR454W	YLR454W			FMP27			protein_coding
Interval_1170	XI	666038	666816	+	0	NA	Intergenic	Intergenic	4985	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
Interval_428	IV	1269530	1270422	+	0	NA	promoter-TSS (YDR399W)	protein_coding-promoter-TSS (YDR399W)	-92	YDR399W	YDR399W	YDR399W			HPT1			protein_coding
Interval_301	IV	507139	508227	+	0	NA	promoter-TSS (YDR033W)	protein_coding-promoter-TSS (YDR033W)	-464	YDR033W	YDR033W	YDR033W			MRH1			protein_coding
Interval_1447	XIII	810721	811146	+	0	NA	promoter-TSS (YMR272C)	protein_coding-promoter-TSS (YMR272C)	-156	YMR272C	YMR272C	YMR272C			SCS7			protein_coding
Interval_1448	XIII	818703	819017	+	0	NA	promoter-TSS (YMR275C)	protein_coding-promoter-TSS (YMR275C)	33	YMR276W	YMR276W	YMR276W			DSK2			protein_coding
Interval_1285	XII	796367	797396	+	0	NA	promoter-TSS (YLR333C)	protein_coding-promoter-TSS (YLR333C)	197	YLR334C	YLR334C	YLR334C			YLR334C			protein_coding
Interval_379	IV	1016036	1016436	+	0	NA	promoter-TSS (YDR277C)	protein_coding-promoter-TSS (YDR277C)	-534	YDR277C	YDR277C	YDR277C			MTH1			protein_coding
Interval_756	VII	452021	452274	+	0	NA	promoter-TSS (YGL022W)	protein_coding-promoter-TSS (YGL022W)	-43	YGL023C	YGL023C	YGL023C			PIB2			protein_coding
