# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mLb.clN.saf" "-s" "0" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam
Interval_1	I	0	758	+	759	61	71	50	70	77	54
Interval_2	I	20728	21192	+	465	4	7	23	6	13	30
Interval_3	I	29763	29999	+	237	2	10	15	4	11	19
Interval_4	I	32439	33587	+	1149	19	20	66	20	20	70
Interval_5	I	34372	34779	+	408	9	15	14	8	18	17
Interval_6	I	34906	35106	+	201	3	3	12	4	4	14
Interval_7	I	45252	45913	+	662	20	17	40	22	18	42
Interval_8	I	48305	48697	+	393	1	4	17	3	4	19
Interval_9	I	57699	58790	+	1092	11	17	25	11	17	30
Interval_10	I	61118	61592	+	475	4	6	13	5	7	15
Interval_11	I	68034	69011	+	978	35	52	117	36	58	118
Interval_12	I	70963	71503	+	541	29	28	38	33	30	43
Interval_13	I	72560	73095	+	536	15	14	6	21	14	6
Interval_14	I	76010	76268	+	259	2	2	4	2	3	7
Interval_15	I	82024	82677	+	654	4	5	16	5	5	16
Interval_16	I	83867	84247	+	381	0	0	5	1	0	9
Interval_17	I	92347	92828	+	482	0	6	21	0	7	25
Interval_18	I	108792	109033	+	242	2	7	6	3	7	5
Interval_19	I	113258	115012	+	1755	7	12	42	7	12	45
Interval_20	I	119671	119871	+	201	1	1	10	2	1	9
Interval_21	I	132138	132327	+	190	1	4	3	1	4	7
Interval_22	I	138483	139806	+	1324	12	17	35	12	18	40
Interval_23	I	141452	142142	+	691	19	28	36	24	33	36
Interval_24	I	143476	143677	+	202	3	4	2	5	6	6
Interval_25	I	154417	154631	+	215	0	0	7	0	0	8
Interval_26	I	165808	166608	+	801	13	10	13	19	12	15
Interval_27	I	168988	169188	+	201	3	7	7	5	7	10
Interval_28	I	180362	181442	+	1081	15	29	28	17	32	34
Interval_29	I	182275	182665	+	391	5	10	14	6	12	17
Interval_30	I	189908	191458	+	1551	47	36	78	52	36	88
Interval_31	I	198126	198758	+	633	9	6	15	12	6	16
Interval_32	I	210905	211171	+	267	4	7	14	7	11	21
Interval_33	I	229417	230218	+	802	45	41	34	52	44	30
Interval_34	II	59	353	+	295	8	2	6	10	4	7
Interval_35	II	5655	6374	+	720	26	37	33	31	53	38
Interval_36	II	8274	8509	+	236	0	3	10	0	2	12
Interval_37	II	23832	24041	+	210	1	5	11	4	5	12
Interval_38	II	28403	29192	+	790	6	14	27	8	14	27
Interval_39	II	36132	36815	+	684	16	23	28	16	29	35
Interval_40	II	45080	45602	+	523	22	30	33	24	35	39
Interval_41	II	46811	47462	+	652	13	12	22	15	14	22
Interval_42	II	60840	61164	+	325	13	15	27	13	16	29
Interval_43	II	69401	69597	+	197	0	4	2	0	6	2
Interval_44	II	74783	75081	+	299	1	3	15	1	3	17
Interval_45	II	80783	80999	+	217	3	3	8	3	3	12
Interval_46	II	87724	88128	+	405	4	5	15	6	5	15
Interval_47	II	89292	89939	+	648	25	27	28	27	29	34
Interval_48	II	101218	102010	+	793	9	9	34	9	11	34
Interval_49	II	107529	107778	+	250	1	5	3	1	6	4
Interval_50	II	113420	113716	+	297	0	2	12	2	2	15
Interval_51	II	116486	117669	+	1184	14	19	41	16	21	48
Interval_52	II	124808	125084	+	277	2	10	7	2	10	10
Interval_53	II	126209	126413	+	205	0	1	9	0	1	9
Interval_54	II	135711	136392	+	682	31	33	72	33	38	74
Interval_55	II	140406	141263	+	858	26	34	68	27	35	73
Interval_56	II	159603	160135	+	533	10	18	42	11	20	53
Interval_57	II	164106	165594	+	1489	47	68	112	50	69	123
Interval_58	II	167951	168351	+	401	22	30	61	24	34	64
Interval_59	II	181475	182394	+	920	5	10	19	5	10	19
