PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_465	XII	459743	460714	+	742	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	552	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_182	IX	439280	439888	+	162	NA	Intergenic	Intergenic	-1405	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_440	XI	666136	666816	+	122	NA	Intergenic	Intergenic	5034	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_1	I	1	638	+	121	NA	promoter-TSS (YAL068W-A)	protein_coding-promoter-TSS (YAL068W-A)	-16	YAL069W	YAL069W	YAL069W			YAL069W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_232	VI	4540	5289	+	108	NA	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-152	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_83	III	315942	316514	+	106	NA	promoter-TSS (YCR108C)	protein_coding-promoter-TSS (YCR108C)	-40	YCR108C	YCR108C	YCR108C			YCR108C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_593	XV	1	711	+	104	NA	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-229	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_231	V	569896	570469	+	100	NA	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-275	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_548	XIII	923664	924422	+	98	NA	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-241	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_396	XI	1	691	+	93	NA	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	-105	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_92	IV	307849	308257	+	93	NA	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-264	YDL083C	YDL083C	YDL083C			RPS16B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_327	VIII	12	259	+	92	NA	promoter-TSS (YHL050W-A)	protein_coding-promoter-TSS (YHL050W-A)	-676	YHL050W-A	YHL050W-A	YHL050W-A			YHL050W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_17	II	89493	89826	+	89	NA	promoter-TSS (YBL071C-B)	protein_coding-promoter-TSS (YBL071C-B)	-103	YBL071C-B	YBL071C-B	YBL071C-B			YBL071C-B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_161	IX	165974	166298	+	86	NA	promoter-TSS (YIL106W)	protein_coding-promoter-TSS (YIL106W)	-279	YIL106W	YIL106W	YIL106W			MOB1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_167	IX	232388	232907	+	85	NA	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-278	YIL069C	YIL069C	YIL069C			RPS24B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_217	V	396298	396725	+	85	NA	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-258	YER117W	YER117W	YER117W			RPL23B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_63	III	226	947	+	84	NA	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-806	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_194	V	123254	123601	+	83	NA	promoter-TSS (YEL017C-A)	protein_coding-promoter-TSS (YEL017C-A)	-230	YEL017W	YEL017W	YEL017W			GTT3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_549	XIV	6562	7314	+	83	NA	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	-227	YNL337W	YNL337W	YNL337W			YNL337W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_441	XII	1	287	+	82	NA	promoter-TSS (YLL067W-A)	protein_coding-promoter-TSS (YLL067W-A)	-699	YLL067W-A	YLL067W-A	YLL067W-A			YLL067W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_222	V	442015	442637	+	81	NA	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	339	SCR1	SCR1	SCR1			SCR1			ncRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_340	VIII	236147	236548	+	79	NA	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	165	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_326	VII	1083752	1084476	+	77	NA	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-750	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_609	XV	253711	254194	+	76	NA	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-345	YOL039W	YOL039W	YOL039W			RPP2A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_68	III	68456	68807	+	75	NA	promoter-TSS (YCL030C)	protein_coding-promoter-TSS (YCL030C)	-298	YCL030C	YCL030C	YCL030C			HIS4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_330	VIII	48159	48653	+	75	NA	promoter-TSS (YHL028W)	protein_coding-promoter-TSS (YHL028W)	-357	YHL028W	YHL028W	YHL028W			WSC4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_442	XII	5529	5951	+	74	NA	promoter-TSS (YLL066W-A)	protein_coding-promoter-TSS (YLL066W-A)	135	YLL066W-B	YLL066W-B	YLL066W-B			YLL066W-B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_499	XII	1028341	1028899	+	74	NA	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-234	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_395	X	745250	745739	+	73	NA	promoter-TSS (YJR162C)	protein_coding-promoter-TSS (YJR162C)	-233	YJR162C	YJR162C	YJR162C			YJR162C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_11	I	229493	230218	+	73	NA	TTS (YAR073W)	protein_coding-TTS (YAR073W)	1011	YAR075W	YAR075W	YAR075W			YAR075W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_500	XII	1064405	1065356	+	72	NA	Intergenic	Intergenic	-1076	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_156	IX	99474	99895	+	71	NA	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-268	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_193	V	117597	118092	+	71	NA	promoter-TSS (YEL020C-B)	protein_coding-promoter-TSS (YEL020C-B)	191	RPR1	RPR1	RPR1			RPR1			ncRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_645	XV	866636	867147	+	68	NA	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-207	YOR293W	YOR293W	YOR293W			RPS10A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_509	XIII	146049	146379	+	68	NA	promoter-TSS (YML063W)	protein_coding-promoter-TSS (YML063W)	-268	YML063W	YML063W	YML063W			RPS1B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_359	X	90267	90645	+	68	NA	promoter-TSS (YJL177W)	protein_coding-promoter-TSS (YJL177W)	-330	YJL177W	YJL177W	YJL177W			RPL17B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_169	IX	254182	254722	+	68	NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	-91	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_460	XII	423902	424588	+	67	NA	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	562	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_215	V	362285	362622	+	67	NA	promoter-TSS (YER101C)	protein_coding-promoter-TSS (YER101C)	-647	YER102W	YER102W	YER102W			RPS8B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_298	VII	726487	726874	+	66	NA	promoter-TSS (YGR117C)	protein_coding-promoter-TSS (YGR117C)	-201	YGR117C	YGR117C	YGR117C			YGR117C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_153	IV	1524727	1525616	+	66	NA	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	-238	YDR543C	YDR543C	YDR543C			YDR543C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_672	XVI	214449	215383	+	65	NA	promoter-TSS (YPL177C)	protein_coding-promoter-TSS (YPL177C)	-954	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_195	V	140570	141585	+	65	NA	promoter-TSS (YEL007W)	protein_coding-promoter-TSS (YEL007W)	-259	YEL008C-A	YEL008C-A	YEL008C-A			YEL008C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_565	XIV	349943	350248	+	65	NA	promoter-TSS (YNL147W)	protein_coding-promoter-TSS (YNL147W)	-339	YNL149C	YNL149C	YNL149C			PGA2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_250	VII	1	672	+	65	NA	Intergenic	Intergenic	-2454	YGL263W	YGL263W	YGL263W			COS12			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_303	VII	774414	774715	+	64	NA	promoter-TSS (YGR143W)	protein_coding-promoter-TSS (YGR143W)	215	tA(AGC)G	tA(AGC)G	tA(AGC)G			tA(AGC)G			tRNA
