PeakID (cmd=annotatePeaks.pl consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_181	IV	132789	133303	+	0	NA	promoter-TSS (YDL182W)	protein_coding-promoter-TSS (YDL182W)	-391	YDL182W	YDL182W	YDL182W			LYS20			protein_coding
Interval_691	VIII	548693	549436	+	0	NA	exon (YHR214C-B, exon 1 of 2)	protein_coding-exon (YHR214C-B, exon 1 of 2)	282	YHR214C-C	YHR214C-C	YHR214C-C			YHR214C-C			protein_coding
Interval_1180	XV	232014	232530	+	0	NA	promoter-TSS (YOL052C-A)	protein_coding-promoter-TSS (YOL052C-A)	-517	YOL052C-A	YOL052C-A	YOL052C-A			DDR2			protein_coding
Interval_770	X	646526	647363	+	0	NA	promoter-TSS (YJR119C)	protein_coding-promoter-TSS (YJR119C)	-182	YJR120W	YJR120W	YJR120W			YJR120W			protein_coding
Interval_334	IX	77421	77880	+	0	NA	promoter-TSS (YIL144W)	protein_coding-promoter-TSS (YIL144W)	-367	YIL145C	YIL145C	YIL145C			PAN6			protein_coding
Interval_220	IV	488500	489332	+	0	NA	promoter-TSS (YDR022C)	protein_coding-promoter-TSS (YDR022C)	-46	tV(UAC)D	tV(UAC)D	tV(UAC)D			tV(UAC)D			tRNA
Interval_193	IV	234129	234676	+	0	NA	promoter-TSS (YDL127W)	protein_coding-promoter-TSS (YDL127W)	-525	YDL127W	YDL127W	YDL127W			PCL2			protein_coding
Interval_575	VII	609246	610449	+	0	NA	promoter-TSS (YGR060W)	protein_coding-promoter-TSS (YGR060W)	263	snR48	snR48	snR48			snR48			snoRNA
Interval_483	VI	106253	106765	+	0	NA	promoter-TSS (YFL014W)	protein_coding-promoter-TSS (YFL014W)	94	YFL015W-A	YFL015W-A	YFL015W-A			YFL015W-A			protein_coding
Interval_837	XI	431285	431795	+	0	NA	promoter-TSS (YKL006C-A)	protein_coding-promoter-TSS (YKL006C-A)	-366	YKL006W	YKL006W	YKL006W			RPL14A			protein_coding
Interval_786	XI	48039	48435	+	0	NA	promoter-TSS (YKL207W)	protein_coding-promoter-TSS (YKL207W)	43	YKL207W	YKL207W	YKL207W			EMC3			protein_coding
Interval_215	IV	442714	442913	+	0	NA	promoter-TSS (YDL004W)	protein_coding-promoter-TSS (YDL004W)	-216	YDL004W	YDL004W	YDL004W			ATP16			protein_coding
Interval_1116	XIV	355254	355997	+	0	NA	promoter-TSS (YNL144C)	protein_coding-promoter-TSS (YNL144C)	-583	YNL144C	YNL144C	YNL144C			YNL144C			protein_coding
