PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T100_SE_REP1_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T100_SE_REP1_peak_634	XII	459748	460727	+	626	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	561	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_1	I	1	640	+	151	NA	promoter-TSS (YAL068W-A)	protein_coding-promoter-TSS (YAL068W-A)	-15	YAL069W	YAL069W	YAL069W			YAL069W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_447	VII	1083745	1084451	+	110	NA	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-766	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_266	V	6132	6485	+	108	NA	promoter-TSS (YEL075C)	protein_coding-promoter-TSS (YEL075C)	182	YEL074W	YEL074W	YEL074W			YEL074W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_230	IX	68245	68746	+	108	NA	promoter-TSS (YIL148W)	protein_coding-promoter-TSS (YIL148W)	-213	YIL148W	YIL148W	YIL148W			RPL40A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_817	XV	1	696	+	107	NA	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-237	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_758	XIII	923594	924410	+	104	NA	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-200	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_547	XI	1	661	+	100	NA	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	-120	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_607	XII	1	286	+	97	NA	promoter-TSS (YLL067W-A)	protein_coding-promoter-TSS (YLL067W-A)	-700	YLL067W-A	YLL067W-A	YLL067W-A			YLL067W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_265	IX	439137	439888	+	97	NA	Intergenic	Intergenic	-1333	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
OSMOTIC_STRESS_T100_SE_REP1_peak_227	IV	1524744	1525458	+	96	NA	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	-168	YDR543C	YDR543C	YDR543C			YDR543C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_785	XIV	349839	350337	+	92	NA	promoter-TSS (YNL147W)	protein_coding-promoter-TSS (YNL147W)	-332	YNL149C	YNL149C	YNL149C			PGA2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_631	XII	423955	424741	+	92	NA	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	665	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_385	VII	397868	398428	+	90	NA	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-480	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_759	XIV	6559	7295	+	89	NA	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	-238	YNL337W	YNL337W	YNL337W			YNL337W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_606	XI	666076	666792	+	89	NA	Intergenic	Intergenic	4992	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_333	VI	4507	5296	+	88	NA	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-165	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_678	XII	1028322	1028855	+	85	NA	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-266	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_345	VI	183035	183367	+	85	NA	promoter-TSS (YFR017C)	protein_coding-promoter-TSS (YFR017C)	-340	YFR017C	YFR017C	YFR017C			IGD1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_332	V	569726	570522	+	82	NA	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-217	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_477	VIII	382811	383173	+	81	NA	promoter-TSS (YHR141C)	protein_coding-promoter-TSS (YHR141C)	-241	YHR141C	YHR141C	YHR141C			RPL42B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_448	VIII	1	315	+	80	NA	promoter-TSS (YHL050W-A)	protein_coding-promoter-TSS (YHL050W-A)	-653	YHL050W-A	YHL050W-A	YHL050W-A			YHL050W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_33	II	165001	165552	+	80	NA	promoter-TSS (YBL029C-A)	protein_coding-promoter-TSS (YBL029C-A)	-504	YBL029C-A	YBL029C-A	YBL029C-A			YBL029C-A			protein_coding
