# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mRp.clN.saf" "-s" "0" "-o" "consensus_peaks.mRp.clN.featureCounts.txt" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam
Interval_1	I	0	650	+	651	60	71	69	77
Interval_2	I	20734	21103	+	370	4	7	6	13
Interval_3	I	29153	29973	+	821	6	12	7	15
Interval_4	I	32806	33285	+	480	12	18	14	19
Interval_5	I	34372	34847	+	476	10	17	9	20
Interval_6	I	45282	45937	+	656	20	16	22	18
Interval_7	I	47732	48031	+	300	3	2	3	3
Interval_8	I	58133	58790	+	658	8	12	9	13
Interval_9	I	61120	61435	+	316	4	4	5	7
Interval_10	I	62503	62703	+	201	2	4	3	7
Interval_11	I	68034	68791	+	758	32	49	35	55
Interval_12	I	70963	71508	+	546	29	28	33	30
Interval_13	I	72426	72864	+	439	16	12	17	12
Interval_14	I	108672	109022	+	351	4	6	3	8
Interval_15	I	138563	139267	+	705	11	13	11	15
Interval_16	I	141651	142170	+	520	17	26	23	32
Interval_17	I	143455	143895	+	441	9	9	9	10
Interval_18	I	165870	166730	+	861	15	10	20	12
Interval_19	I	168990	169232	+	243	4	7	5	7
Interval_20	I	180909	181465	+	557	12	25	14	28
Interval_21	I	182275	182670	+	396	5	10	6	12
Interval_22	I	190008	190903	+	896	36	33	44	35
Interval_23	I	198455	199701	+	1247	9	12	11	12
Interval_24	I	210901	211178	+	278	4	7	7	11
Interval_25	I	220285	220485	+	201	6	2	7	3
Interval_26	I	229449	230218	+	770	45	41	52	44
Interval_27	II	47	460	+	414	9	3	11	5
Interval_28	II	5655	6374	+	720	26	37	31	53
Interval_29	II	21209	21423	+	215	5	2	5	4
Interval_30	II	28501	29192	+	692	6	13	8	12
Interval_31	II	36132	36825	+	694	16	23	16	29
Interval_32	II	45064	45606	+	543	22	31	24	35
Interval_33	II	46649	47504	+	856	14	14	16	18
Interval_34	II	59279	59667	+	389	3	7	3	7
Interval_35	II	60843	61149	+	307	13	15	13	16
Interval_36	II	71242	71449	+	208	4	5	4	5
Interval_37	II	89292	89893	+	602	25	26	26	28
Interval_38	II	101215	101801	+	587	9	8	9	10
Interval_39	II	116821	117404	+	584	12	16	13	19
Interval_40	II	124824	125084	+	261	2	10	2	10
Interval_41	II	135702	136322	+	621	30	32	33	38
Interval_42	II	140414	141263	+	850	26	34	27	35
Interval_43	II	159587	160135	+	549	10	19	11	20
Interval_44	II	164138	165558	+	1421	47	68	50	69
Interval_45	II	167964	168352	+	389	20	30	22	34
Interval_46	II	181477	182230	+	754	4	10	4	10
Interval_47	II	191728	192276	+	549	6	10	7	8
Interval_48	II	193414	193981	+	568	16	19	17	18
Interval_49	II	197291	197563	+	273	2	8	1	8
Interval_50	II	201908	203570	+	1663	34	37	35	40
Interval_51	II	216122	217305	+	1184	9	12	10	13
Interval_52	II	221347	221558	+	212	6	2	8	4
Interval_53	II	227170	227404	+	235	3	6	6	6
Interval_54	II	235748	236563	+	816	13	16	14	18
Interval_55	II	246656	246856	+	201	5	3	6	3
Interval_56	II	251108	251605	+	498	13	12	14	14
Interval_57	II	255777	256429	+	653	12	27	13	27
Interval_58	II	278569	278769	+	201	6	4	6	5
Interval_59	II	292032	292378	+	347	2	5	2	6
Interval_60	II	297885	298143	+	259	3	5	4	5
Interval_61	II	300886	301667	+	782	3	6	5	8
Interval_62	II	310328	310628	+	301	4	6	5	6
Interval_63	II	311580	311780	+	201	3	4	5	5
Interval_64	II	326625	326848	+	224	3	6	6	6
Interval_65	II	332485	332781	+	297	9	13	9	14
Interval_66	II	336887	337345	+	459	4	16	7	19
Interval_67	II	338358	338731	+	374	6	8	6	10
Interval_68	II	341305	342422	+	1118	17	30	18	29
Interval_69	II	347194	347724	+	531	6	4	7	6
Interval_70	II	350807	351027	+	221	5	5	5	6
Interval_71	II	356079	357041	+	963	9	7	12	8
Interval_72	II	370948	371712	+	765	14	15	13	16
Interval_73	II	373419	374416	+	998	15	10	18	12
Interval_74	II	375861	376259	+	399	12	18	11	20
Interval_75	II	378655	379178	+	524	14	21	17	28
Interval_76	II	391575	392860	+	1286	23	29	27	29
Interval_77	II	405910	406254	+	345	5	4	8	9
Interval_78	II	407367	407641	+	275	5	7	5	7
Interval_79	II	408415	408912	+	498	12	21	12	23
Interval_80	II	415316	415846	+	531	18	19	20	19
Interval_81	II	418243	418451	+	209	3	7	4	6
Interval_82	II	419323	419808	+	486	4	7	4	7
Interval_83	II	426572	427277	+	706	11	24	13	27
Interval_84	II	429236	429447	+	212	2	8	2	9
Interval_85	II	444675	444998	+	324	5	7	5	8
Interval_86	II	452036	452549	+	514	10	12	14	11
Interval_87	II	454233	454928	+	696	3	9	3	9
Interval_88	II	458331	458700	+	370	3	6	4	6
Interval_89	II	466037	467036	+	1000	19	34	19	35
Interval_90	II	474096	474518	+	423	8	7	9	8
Interval_91	II	477027	477597	+	571	19	28	20	29
Interval_92	II	483443	483834	+	392	5	5	8	5
Interval_93	II	490469	491139	+	671	9	20	9	19
Interval_94	II	504469	504859	+	391	7	12	7	13
Interval_95	II	554730	556178	+	1449	44	49	50	51
Interval_96	II	564841	565520	+	680	13	16	13	16
Interval_97	II	589174	589464	+	291	7	7	7	9
Interval_98	II	592764	593134	+	371	10	12	11	12
Interval_99	II	595182	595954	+	773	6	18	9	19
